abs()			Возвращает абсолютное значение числа
all()			Возвращает True, если все элементы в итерируемом объекте верны
any()			Возвращает True, если любой элемент в итерируемом объекте равен true
ascii()			Возвращает читаемую версию объекта. Заменить символы не-ascii на escape-символы
bin()			Возвращает двоичную версию числа
bool()			Возвращает логическое значение указанного объекта
bytearray()		Возвращает массив байтов
bytes()			Возвращает объект байтов
callable()		Возвращает True, если указанный объект может быть вызван, иначе False
chr()			Возвращает символ из указанного кода Unicode.
classmethod()	Преобразует метод в метод класса
compile()		Возвращает указанный источник в виде объекта, готового к выполнению
complex()		Возвращает комплексное число
delattr()		Удаляет указанный атрибут (свойство или метод) из указанного объекта
dict()			Возвращает словарь (массив)
dir()			Возвращает список свойств и методов указанных объектов.
divmod()		Возвращает частное и остаток, когда аргумент1 делится на аргумент2
enumerate()		Берет коллекцию (например, кортеж) и возвращает ее как объект перечисления
eval()			Оценивает и выполняет выражение
exec()			Выполняет указанный код (или объект)
filter()		Функция фильтра, чтобы исключить элементы в итерируемом объекте
float()			Возвращает число с плавающей запятой
format()		Форматирует указанное значение
frozenset()		Возвращает объект Frozenset
getattr()		Возвращает значение указанного атрибута (свойство или метод)
globals()		Возвращает текущую таблицу глобальных символов в виде словаря
hasattr()		Возвращает True, если указанный объект имеет указанный атрибут (свойство / метод)
hash()			Возвращает значение хеша указанного объекта
help()			Выполняет встроенную справочную систему
hex()			Преобразует число в шестнадцатеричное значение
id()			Возвращает идентификатор объекта
input()			Разрешение ввода пользователя
int()			Возвращает целое число
isinstance()	Возвращает True, если указанный объект является экземпляром указанного объекта
issubclass()	Возвращает True, если указанный класс является подклассом указанного объекта
iter()			Возвращает объект итератора
len()			Возвращает длину объекта
list()			Возвращает список
locals() 		Возвращает обновленный словарь текущей локальной таблицы символов
map() 			Возвращает указанный итератор с указанной функцией, примененной к каждому элементу
max() 			Возвращает самый большой элемент в итерируемой
memoryview()	Возвращает объект представления памяти
min() 			Возвращает наименьший элемент в итерируемом
next()	 		Возвращает следующий элемент в итерируемом
object()		Возвращает новый объект
oct() 			Преобразует число в восьмеричное
open()	 		Открывает файл и возвращает объект файла
ord() 			Конвертировать целое число, представляющее Unicode указанного символа
pow() 			Возвращает значение x в степень y
print() 		Печать на стандартное устройство вывода
property()		Получает, устанавливает, удаляет свойство
range() 		Возвращает последовательность чисел, начиная с 0 и увеличивая на 1 (по умолчанию)
repr() 			Возвращает читаемую версию объекта
reversed()		Возвращает обратный итератор
round() 		округляет числа
set() 			Возвращает новый объект set
setattr()		Устанавливает атрибут (свойство / метод) объекта
slice()			Возвращает объект среза
sorted() 		Возвращает отсортированный список
@staticmethod() Преобразует метод в статический метод
str() 			Возвращает строковый объект
sum() 			Суммирует элементы итератора
tuple() 		Возвращает кортеж
type()	 		Возвращает тип объекта
vars() 			Возвращает свойство __dict__ объекта
zip()			Возвращает итератор из двух и более итераторов.
capitalize()	Преобразует первый символ в верхний регистр
casefold()		Преобразует строку в нижний регистр
center() 		Возвращает центрированную строку
count() 		Возвращает количество раз, указанное значение встречается в строке
encode() 		Возвращает закодированную версию строки
endwith() 		Возвращает true, если строка заканчивается указанным значением
expandtabs()	Устанавливает размер вкладки строки
find()			Ищет строку для указанного значения и возвращает позицию, где оно было найдено
format() 		форматирует указанные значения в строку
format_map() 	Форматирует указанные значения в строке
index() 		Ищет строку для указанного значения и возвращает позицию, где оно было найдено
isalnum() 		Возвращает True, если все символы в строке алфавитно-цифровые
isalpha() 		Возвращает True, если все символы в строке находятся в алфавите
isdecimal()		Возвращает True, если все символы в строке являются десятичными
isdigit() 		Возвращает True, если все символы в строке являются цифрами
isidentifier() 	Возвращает True, если строка является идентификатором
islower() 		Возвращает True, если все символы в строке строчные
isnumeric()		Возвращает True, если все символы в строке являются числовыми
isprintable() 	Возвращает True, если все символы в строке являются печатными
isspace() 		Возвращает True, если все символы в строке являются пробелами
istitle() 		Возвращает True, если строка соответствует правилам заголовка
isupper() 		Возвращает True, если все символы в строке прописные
join() 			Присоединяет элементы итерируемого к концу строки
ljust() 		Возвращает выровненную по левому краю версию строки
lower() 		Преобразует строку в нижний регистр
lstrip() 		Возвращает левую версию строки
maketrans()		Возвращает таблицу перевода для использования в переводах
partition()		Возвращает кортеж, в котором строка разделена на три части.
replace() 		Возвращает строку, в которой указанное значение заменяется указанным значением.
rfind() 		Ищет строку для указанного значения и возвращает последнюю позицию, где она была найдена
rindex() 		Ищет строку для указанного значения и возвращает последнюю позицию, где она была найдена
rpartition()	Возвращает кортеж, в котором строка разделена на три части
rsplit() 		Разбивает строку в указанном разделителе и возвращает список
rstrip() 		Возвращает правильную версию строки
split() 		Разбивает строку в указанном разделителе и возвращает список
splitlines() 	Разбивает строку при переносе строки и возвращает список
startwith() 	Возвращает true, если строка начинается с указанного значения
swapcase() 		Меняет регистр нижнего регистра на верхний и наоборот
title() 		Преобразует первый символ каждого слова в верхний регистр
translate()		Возвращает переведенную строку
upper() 		Преобразует строку в верхний регистр
zfill() 		Заполняет отображаемое число 0 значений в начале
